Case_ID,Activity,Timestamp,Resource,Next_Timestamp,Activity_Duration_Hours
10,Order Shipped,2024-01-09 18:00:00,Finance Team,2024-01-12 16:00:00,70.0
10,Order Delivered,2024-01-12 16:00:00,Manager,,
11,Order Created,2024-02-28 01:00:00,Manager,2024-02-29 19:00:00,42.0
11,Order Approved,2024-02-29 19:00:00,Logistics,2024-02-29 22:00:00,3.0
11,Credit Check,2024-02-29 22:00:00,System,2024-03-02 21:00:00,47.0
11,Payment Processed,2024-03-02 21:00:00,Warehouse,2024-03-04 04:00:00,31.0
11,Order Packed,2024-03-04 04:00:00,System,2024-03-05 11:00:00,31.0
11,Order Shipped,2024-03-05 11:00:00,Manager,2024-03-05 22:00:00,11.0
11,Order Delivered,2024-03-05 22:00:00,System,,
12,Order Created,2024-02-18 15:00:00,System,2024-02-21 12:00:00,69.0
12,Order Approved,2024-02-21 12:00:00,Finance Team,2024-02-22 05:00:00,17.0
12,Credit Check,2024-02-22 05:00:00,Logistics,2024-02-25 04:00:00,71.0
12,Payment Processed,2024-02-25 04:00:00,Finance Team,2024-02-26 14:00:00,34.0
12,Order Packed,2024-02-26 14:00:00,Manager,2024-02-28 21:00:00,55.0
12,Order Shipped,2024-02-28 21:00:00,Finance Team,2024-03-02 19:00:00,70.0
12,Order Delivered,2024-03-02 19:00:00,Finance Team,,
13,Order Created,2024-02-16 16:00:00,Logistics,2024-02-18 16:00:00,48.0
13,Order Approved,2024-02-18 16:00:00,Logistics,2024-02-21 11:00:00,67.0
13,Credit Check,2024-02-21 11:00:00,Logistics,2024-02-22 03:00:00,16.0
13,Payment Processed,2024-02-22 03:00:00,Finance Team,2024-02-23 08:00:00,29.0
13,Order Packed,2024-02-23 08:00:00,System,2024-02-25 04:00:00,44.0
13,Order Shipped,2024-02-25 04:00:00,System,2024-02-28 03:00:00,71.0
13,Order Delivered,2024-02-28 03:00:00,Finance Team,,
14,Order Created,2024-02-08 05:00:00,System,2024-02-08 15:00:00,10.0
14,Order Approved,2024-02-08 15:00:00,System,2024-02-09 21:00:00,30.0
14,Credit Check,2024-02-09 21:00:00,System,2024-02-10 02:00:00,5.0
14,Payment Processed,2024-02-10 02:00:00,Warehouse,2024-02-10 12:00:00,10.0
14,Order Packed,2024-02-10 12:00:00,Manager,2024-02-11 19:00:00,31.0
14,Order Shipped,2024-02-11 19:00:00,Warehouse,2024-02-14 10:00:00,63.0
14,Order Delivered,2024-02-14 10:00:00,Finance Team,,
15,Order Created,2024-02-04 17:00:00,Manager,2024-02-07 06:00:00,61.0
15,Order Approved,2024-02-07 06:00:00,Finance Team,2024-02-09 19:00:00,61.0
15,Credit Check,2024-02-09 19:00:00,Logistics,2024-02-10 20:00:00,25.0
15,Payment Processed,2024-02-10 20:00:00,System,2024-02-11 09:00:00,13.0
15,Order Packed,2024-02-11 09:00:00,Logistics,2024-02-13 07:00:00,46.0
15,Order Shipped,2024-02-13 07:00:00,Logistics,2024-02-15 12:00:00,53.0
15,Order Delivered,2024-02-15 12:00:00,Logistics,,
16,Order Created,2024-02-25 07:00:00,System,2024-02-25 15:00:00,8.0
16,Order Approved,2024-02-25 15:00:00,Logistics,2024-02-27 11:00:00,44.0
16,Credit Check,2024-02-27 11:00:00,System,2024-02-28 19:00:00,32.0
16,Payment Processed,2024-02-28 19:00:00,Finance Team,2024-02-29 20:00:00,25.0
16,Order Packed,2024-02-29 20:00:00,Manager,2024-03-03 06:00:00,58.0
16,Order Shipped,2024-03-03 06:00:00,Finance Team,2024-03-05 13:00:00,55.0
16,Order Delivered,2024-03-05 13:00:00,Finance Team,,
17,Order Created,2024-01-20 12:00:00,Finance Team,2024-01-20 22:00:00,10.0
17,Order Approved,2024-01-20 22:00:00,Logistics,2024-01-23 21:00:00,71.0
17,Credit Check,2024-01-23 21:00:00,System,2024-01-24 04:00:00,7.0
17,Payment Processed,2024-01-24 04:00:00,Manager,2024-01-24 06:00:00,2.0
17,Order Packed,2024-01-24 06:00:00,System,2024-01-25 13:00:00,31.0
17,Order Shipped,2024-01-25 13:00:00,Finance Team,2024-01-27 18:00:00,53.0
17,Order Delivered,2024-01-27 18:00:00,Logistics,,
18,Order Created,2024-02-01 04:00:00,Logistics,2024-02-01 12:00:00,8.0
18,Order Approved,2024-02-01 12:00:00,Finance Team,2024-02-03 13:00:00,49.0
18,Credit Check,2024-02-03 13:00:00,System,2024-02-05 15:00:00,50.0
18,Payment Processed,2024-02-05 15:00:00,Warehouse,2024-02-08 02:00:00,59.0
18,Order Packed,2024-02-08 02:00:00,Warehouse,2024-02-10 09:00:00,55.0
18,Order Shipped,2024-02-10 09:00:00,Manager,2024-02-13 00:00:00,63.0
18,Order Delivered,2024-02-13 00:00:00,Finance Team,,
19,Order Created,2024-01-14 14:00:00,Finance Team,2024-01-14 22:00:00,8.0
19,Order Approved,2024-01-14 22:00:00,Manager,2024-01-17 20:00:00,70.0
19,Credit Check,2024-01-17 20:00:00,System,2024-01-19 13:00:00,41.0
19,Payment Processed,2024-01-19 13:00:00,System,2024-01-19 20:00:00,7.0
19,Order Packed,2024-01-19 20:00:00,Manager,2024-01-22 10:00:00,62.0
19,Order Shipped,2024-01-22 10:00:00,Manager,2024-01-25 06:00:00,68.0
19,Order Delivered,2024-01-25 06:00:00,Finance Team,,
20,Order Created,2024-01-06 18:00:00,System,2024-01-07 18:00:00,24.0
20,Order Approved,2024-01-07 18:00:00,System,2024-01-08 03:00:00,9.0
20,Credit Check,2024-01-08 03:00:00,Finance Team,2024-01-10 07:00:00,52.0
20,Payment Processed,2024-01-10 07:00:00,System,2024-01-11 15:00:00,32.0
20,Order Packed,2024-01-11 15:00:00,Manager,2024-01-11 21:00:00,6.0
20,Order Shipped,2024-01-11 21:00:00,Manager,2024-01-12 08:00:00,11.0
20,Order Delivered,2024-01-12 08:00:00,Logistics,,
21,Order Created,2024-02-14 19:00:00,Warehouse,2024-02-16 05:00:00,34.0
21,Order Approved,2024-02-16 05:00:00,Finance Team,2024-02-17 22:00:00,41.0
21,Credit Check,2024-02-17 22:00:00,Finance Team,2024-02-19 08:00:00,34.0
21,Payment Processed,2024-02-19 08:00:00,Logistics,2024-02-20 01:00:00,17.0
21,Order Packed,2024-02-20 01:00:00,Warehouse,2024-02-22 12:00:00,59.0
21,Order Shipped,2024-02-22 12:00:00,Warehouse,2024-02-22 22:00:00,10.0
21,Order Delivered,2024-02-22 22:00:00,System,,
22,Order Created,2024-01-30 13:00:00,System,2024-02-02 10:00:00,69.0
22,Order Approved,2024-02-02 10:00:00,Finance Team,2024-02-05 03:00:00,65.0
22,Credit Check,2024-02-05 03:00:00,Warehouse,2024-02-05 20:00:00,17.0
22,Payment Processed,2024-02-05 20:00:00,Warehouse,2024-02-06 05:00:00,9.0
22,Order Packed,2024-02-06 05:00:00,Finance Team,2024-02-08 05:00:00,48.0
22,Order Shipped,2024-02-08 05:00:00,Warehouse,2024-02-09 02:00:00,21.0
22,Order Delivered,2024-02-09 02:00:00,Logistics,,
23,Order Created,2024-02-25 22:00:00,Warehouse,2024-02-28 18:00:00,68.0
23,Order Approved,2024-02-28 18:00:00,System,2024-03-02 17:00:00,71.0
23,Credit Check,2024-03-02 17:00:00,Warehouse,2024-03-03 07:00:00,14.0
23,Payment Processed,2024-03-03 07:00:00,Finance Team,2024-03-04 17:00:00,34.0
23,Order Packed,2024-03-04 17:00:00,System,2024-03-05 07:00:00,14.0
23,Order Shipped,2024-03-05 07:00:00,Manager,2024-03-06 03:00:00,20.0
23,Order Delivered,2024-03-06 03:00:00,Warehouse,,
24,Order Created,2024-01-20 03:00:00,Warehouse,2024-01-21 06:00:00,27.0
24,Order Approved,2024-01-21 06:00:00,Warehouse,2024-01-23 23:00:00,65.0
24,Credit Check,2024-01-23 23:00:00,Logistics,2024-01-25 08:00:00,33.0
24,Payment Processed,2024-01-25 08:00:00,System,2024-01-25 20:00:00,12.0
24,Order Packed,2024-01-25 20:00:00,Logistics,2024-01-27 08:00:00,36.0
24,Order Shipped,2024-01-27 08:00:00,System,2024-01-27 09:00:00,1.0
24,Order Delivered,2024-01-27 09:00:00,Warehouse,,
25,Order Created,2024-02-19 17:00:00,Warehouse,2024-02-20 14:00:00,21.0
25,Order Approved,2024-02-20 14:00:00,Logistics,2024-02-23 13:00:00,71.0
25,Credit Check,2024-02-23 13:00:00,Logistics,2024-02-26 13:00:00,72.0
25,Payment Processed,2024-02-26 13:00:00,System,2024-02-27 04:00:00,15.0
25,Order Packed,2024-02-27 04:00:00,System,2024-02-28 00:00:00,20.0
25,Order Shipped,2024-02-28 00:00:00,Manager,2024-02-28 05:00:00,5.0
25,Order Delivered,2024-02-28 05:00:00,Warehouse,,
26,Order Created,2024-02-09 23:00:00,Finance Team,2024-02-12 07:00:00,56.0
26,Order Approved,2024-02-12 07:00:00,Finance Team,2024-02-12 13:00:00,6.0
26,Credit Check,2024-02-12 13:00:00,Warehouse,2024-02-14 12:00:00,47.0
26,Payment Processed,2024-02-14 12:00:00,System,2024-02-16 10:00:00,46.0
26,Order Packed,2024-02-16 10:00:00,Finance Team,2024-02-17 18:00:00,32.0
26,Order Shipped,2024-02-17 18:00:00,System,2024-02-19 16:00:00,46.0
26,Order Delivered,2024-02-19 16:00:00,Manager,,
27,Order Created,2024-02-28 05:00:00,Manager,2024-02-29 01:00:00,20.0
27,Order Approved,2024-02-29 01:00:00,Finance Team,2024-02-29 22:00:00,21.0
27,Credit Check,2024-02-29 22:00:00,Finance Team,2024-03-03 03:00:00,53.0
27,Payment Processed,2024-03-03 03:00:00,System,2024-03-04 02:00:00,23.0
27,Order Packed,2024-03-04 02:00:00,Warehouse,2024-03-06 07:00:00,53.0
27,Order Shipped,2024-03-06 07:00:00,Finance Team,2024-03-07 18:00:00,35.0
27,Order Delivered,2024-03-07 18:00:00,Finance Team,,
28,Order Created,2024-02-20 14:00:00,Logistics,2024-02-20 19:00:00,5.0
28,Order Approved,2024-02-20 19:00:00,Logistics,2024-02-22 00:00:00,29.0
28,Credit Check,2024-02-22 00:00:00,Finance Team,2024-02-24 11:00:00,59.0
28,Payment Processed,2024-02-24 11:00:00,Warehouse,2024-02-26 03:00:00,40.0
28,Order Packed,2024-02-26 03:00:00,Finance Team,2024-02-27 08:00:00,29.0
28,Order Shipped,2024-02-27 08:00:00,System,2024-02-28 09:00:00,25.0
28,Order Delivered,2024-02-28 09:00:00,Logistics,,
29,Order Created,2024-01-23 12:00:00,System,2024-01-25 00:00:00,36.0
29,Order Approved,2024-01-25 00:00:00,Warehouse,2024-01-27 18:00:00,66.0
29,Credit Check,2024-01-27 18:00:00,Logistics,2024-01-30 15:00:00,69.0
29,Payment Processed,2024-01-30 15:00:00,Warehouse,2024-01-30 19:00:00,4.0
29,Order Packed,2024-01-30 19:00:00,System,2024-02-01 05:00:00,34.0
29,Order Shipped,2024-02-01 05:00:00,Finance Team,2024-02-02 15:00:00,34.0
29,Order Delivered,2024-02-02 15:00:00,System,,
30,Order Created,2024-01-09 08:00:00,Warehouse,2024-01-11 01:00:00,41.0
30,Order Approved,2024-01-11 01:00:00,Logistics,2024-01-13 19:00:00,66.0
30,Credit Check,2024-01-13 19:00:00,System,2024-01-15 21:00:00,50.0
30,Payment Processed,2024-01-15 21:00:00,Manager,2024-01-16 22:00:00,25.0
30,Order Packed,2024-01-16 22:00:00,Warehouse,2024-01-17 04:00:00,6.0
30,Order Shipped,2024-01-17 04:00:00,Logistics,2024-01-17 05:00:00,1.0
30,Order Delivered,2024-01-17 05:00:00,Manager,,
31,Order Created,2024-03-02 21:00:00,Finance Team,2024-03-04 20:00:00,47.0
31,Order Approved,2024-03-04 20:00:00,Logistics,2024-03-05 05:00:00,9.0
31,Credit Check,2024-03-05 05:00:00,Warehouse,2024-03-06 22:00:00,41.0
31,Payment Processed,2024-03-06 22:00:00,System,2024-03-08 13:00:00,39.0
31,Order Packed,2024-03-08 13:00:00,Manager,2024-03-10 05:00:00,40.0
31,Order Shipped,2024-03-10 05:00:00,Logistics,2024-03-11 23:00:00,42.0
31,Order Delivered,2024-03-11 23:00:00,Logistics,,
32,Order Created,2024-02-15 14:00:00,Manager,2024-02-16 07:00:00,17.0
32,Order Approved,2024-02-16 07:00:00,Finance Team,2024-02-18 13:00:00,54.0
32,Credit Check,2024-02-18 13:00:00,Logistics,2024-02-19 12:00:00,23.0
32,Payment Processed,2024-02-19 12:00:00,Manager,2024-02-21 03:00:00,39.0
32,Order Packed,2024-02-21 03:00:00,Logistics,2024-02-24 02:00:00,71.0
32,Order Shipped,2024-02-24 02:00:00,System,2024-02-25 17:00:00,39.0
32,Order Delivered,2024-02-25 17:00:00,Warehouse,,
33,Order Created,2024-01-16 08:00:00,Manager,2024-01-18 02:00:00,42.0
33,Order Approved,2024-01-18 02:00:00,Logistics,2024-01-20 11:00:00,57.0
33,Credit Check,2024-01-20 11:00:00,Logistics,2024-01-21 15:00:00,28.0
33,Payment Processed,2024-01-21 15:00:00,Manager,2024-01-24 04:00:00,61.0
33,Order Packed,2024-01-24 04:00:00,Finance Team,2024-01-24 15:00:00,11.0
33,Order Shipped,2024-01-24 15:00:00,Warehouse,2024-01-27 09:00:00,66.0
33,Order Delivered,2024-01-27 09:00:00,Manager,,
34,Order Created,2024-01-22 12:00:00,Finance Team,2024-01-24 04:00:00,40.0
34,Order Approved,2024-01-24 04:00:00,Finance Team,2024-01-25 06:00:00,26.0
34,Credit Check,2024-01-25 06:00:00,Finance Team,2024-01-25 10:00:00,4.0
34,Payment Processed,2024-01-25 10:00:00,System,2024-01-26 18:00:00,32.0
34,Order Packed,2024-01-26 18:00:00,Logistics,2024-01-27 04:00:00,10.0
34,Order Shipped,2024-01-27 04:00:00,Logistics,2024-01-29 10:00:00,54.0
34,Order Delivered,2024-01-29 10:00:00,Manager,,
35,Order Created,2024-01-15 02:00:00,Logistics,2024-01-17 06:00:00,52.0
35,Order Approved,2024-01-17 06:00:00,Finance Team,2024-01-18 01:00:00,19.0
35,Credit Check,2024-01-18 01:00:00,System,2024-01-18 15:00:00,14.0
35,Payment Processed,2024-01-18 15:00:00,Logistics,2024-01-19 20:00:00,29.0
35,Order Packed,2024-01-19 20:00:00,Finance Team,2024-01-22 15:00:00,67.0
35,Order Shipped,2024-01-22 15:00:00,Logistics,2024-01-22 22:00:00,7.0
35,Order Delivered,2024-01-22 22:00:00,Manager,,
36,Order Created,2024-01-16 16:00:00,Logistics,2024-01-17 10:00:00,18.0
36,Order Approved,2024-01-17 10:00:00,Logistics,2024-01-20 06:00:00,68.0
36,Credit Check,2024-01-20 06:00:00,Manager,2024-01-21 23:00:00,41.0
36,Payment Processed,2024-01-21 23:00:00,Logistics,2024-01-24 16:00:00,65.0
36,Order Packed,2024-01-24 16:00:00,Logistics,2024-01-27 15:00:00,71.0
36,Order Shipped,2024-01-27 15:00:00,Logistics,2024-01-28 12:00:00,21.0
36,Order Delivered,2024-01-28 12:00:00,Logistics,,
37,Order Created,2024-01-30 10:00:00,Finance Team,2024-01-31 22:00:00,36.0
37,Order Approved,2024-01-31 22:00:00,Manager,2024-02-03 13:00:00,63.0
37,Credit Check,2024-02-03 13:00:00,Finance Team,2024-02-05 01:00:00,36.0
37,Payment Processed,2024-02-05 01:00:00,Logistics,2024-02-05 11:00:00,10.0
37,Order Packed,2024-02-05 11:00:00,Warehouse,2024-02-06 18:00:00,31.0
37,Order Shipped,2024-02-06 18:00:00,Warehouse,2024-02-08 13:00:00,43.0
37,Order Delivered,2024-02-08 13:00:00,Warehouse,,
38,Order Created,2024-02-29 22:00:00,System,2024-03-01 16:00:00,18.0
38,Order Approved,2024-03-01 16:00:00,Finance Team,2024-03-02 22:00:00,30.0
38,Credit Check,2024-03-02 22:00:00,Logistics,2024-03-03 18:00:00,20.0
38,Payment Processed,2024-03-03 18:00:00,Finance Team,2024-03-04 03:00:00,9.0
38,Order Packed,2024-03-04 03:00:00,Logistics,2024-03-06 08:00:00,53.0
38,Order Shipped,2024-03-06 08:00:00,Warehouse,2024-03-09 06:00:00,70.0
38,Order Delivered,2024-03-09 06:00:00,Logistics,,
39,Order Created,2024-01-27 08:00:00,Finance Team,2024-01-29 14:00:00,54.0
39,Order Approved,2024-01-29 14:00:00,Logistics,2024-01-29 17:00:00,3.0
39,Credit Check,2024-01-29 17:00:00,Manager,2024-01-31 18:00:00,49.0
39,Payment Processed,2024-01-31 18:00:00,Logistics,2024-01-31 19:00:00,1.0
39,Order Packed,2024-01-31 19:00:00,Warehouse,2024-02-02 10:00:00,39.0
39,Order Shipped,2024-02-02 10:00:00,Logistics,2024-02-04 16:00:00,54.0
39,Order Delivered,2024-02-04 16:00:00,Manager,,
40,Order Created,2024-02-19 22:00:00,Manager,2024-02-21 03:00:00,29.0
40,Order Approved,2024-02-21 03:00:00,Logistics,2024-02-22 08:00:00,29.0
40,Credit Check,2024-02-22 08:00:00,Warehouse,2024-02-24 16:00:00,56.0
40,Payment Processed,2024-02-24 16:00:00,Logistics,2024-02-24 20:00:00,4.0
40,Order Packed,2024-02-24 20:00:00,Logistics,2024-02-26 16:00:00,44.0
40,Order Shipped,2024-02-26 16:00:00,Logistics,2024-02-27 14:00:00,22.0
40,Order Delivered,2024-02-27 14:00:00,Logistics,,
41,Order Created,2024-02-28 17:00:00,Manager,2024-03-02 14:00:00,69.0
41,Order Approved,2024-03-02 14:00:00,System,2024-03-04 17:00:00,51.0
41,Credit Check,2024-03-04 17:00:00,Manager,2024-03-04 21:00:00,4.0
41,Payment Processed,2024-03-04 21:00:00,System,2024-03-07 04:00:00,55.0
41,Order Packed,2024-03-07 04:00:00,Finance Team,2024-03-09 16:00:00,60.0
41,Order Shipped,2024-03-09 16:00:00,Finance Team,2024-03-09 23:00:00,7.0
41,Order Delivered,2024-03-09 23:00:00,Warehouse,,
42,Order Created,2024-01-26 18:00:00,Finance Team,2024-01-29 05:00:00,59.0
42,Order Approved,2024-01-29 05:00:00,Warehouse,2024-01-31 01:00:00,44.0
42,Credit Check,2024-01-31 01:00:00,Logistics,2024-02-01 13:00:00,36.0
42,Payment Processed,2024-02-01 13:00:00,Logistics,2024-02-02 22:00:00,33.0
42,Order Packed,2024-02-02 22:00:00,System,2024-02-05 11:00:00,61.0
42,Order Shipped,2024-02-05 11:00:00,System,2024-02-08 09:00:00,70.0
42,Order Delivered,2024-02-08 09:00:00,System,,
43,Order Created,2024-03-02 21:00:00,Finance Team,2024-03-03 06:00:00,9.0
43,Order Approved,2024-03-03 06:00:00,System,2024-03-03 10:00:00,4.0
43,Credit Check,2024-03-03 10:00:00,Finance Team,2024-03-04 12:00:00,26.0
43,Payment Processed,2024-03-04 12:00:00,System,2024-03-05 08:00:00,20.0
43,Order Packed,2024-03-05 08:00:00,Finance Team,2024-03-06 01:00:00,17.0
43,Order Shipped,2024-03-06 01:00:00,Logistics,2024-03-06 16:00:00,15.0
43,Order Delivered,2024-03-06 16:00:00,Manager,,
44,Order Created,2024-03-02 04:00:00,Logistics,2024-03-03 13:00:00,33.0
44,Order Approved,2024-03-03 13:00:00,Warehouse,2024-03-04 11:00:00,22.0
44,Credit Check,2024-03-04 11:00:00,Manager,2024-03-05 02:00:00,15.0
44,Payment Processed,2024-03-05 02:00:00,Finance Team,2024-03-06 18:00:00,40.0
44,Order Packed,2024-03-06 18:00:00,System,2024-03-06 22:00:00,4.0
44,Order Shipped,2024-03-06 22:00:00,Warehouse,2024-03-08 23:00:00,49.0
44,Order Delivered,2024-03-08 23:00:00,Logistics,,
45,Order Created,2024-03-02 02:00:00,System,2024-03-03 10:00:00,32.0
45,Order Approved,2024-03-03 10:00:00,System,2024-03-05 01:00:00,39.0
45,Credit Check,2024-03-05 01:00:00,Manager,2024-03-05 17:00:00,16.0
45,Payment Processed,2024-03-05 17:00:00,Manager,2024-03-05 23:00:00,6.0
45,Order Packed,2024-03-05 23:00:00,Warehouse,2024-03-08 20:00:00,69.0
45,Order Shipped,2024-03-08 20:00:00,Logistics,2024-03-10 20:00:00,48.0
45,Order Delivered,2024-03-10 20:00:00,System,,
46,Order Created,2024-02-03 20:00:00,System,2024-02-06 02:00:00,54.0
46,Order Approved,2024-02-06 02:00:00,Logistics,2024-02-06 16:00:00,14.0
46,Credit Check,2024-02-06 16:00:00,Logistics,2024-02-08 15:00:00,47.0
46,Payment Processed,2024-02-08 15:00:00,Logistics,2024-02-09 11:00:00,20.0
46,Order Packed,2024-02-09 11:00:00,Logistics,2024-02-10 10:00:00,23.0
46,Order Shipped,2024-02-10 10:00:00,Manager,2024-02-11 21:00:00,35.0
46,Order Delivered,2024-02-11 21:00:00,Manager,,
47,Order Created,2024-02-23 21:00:00,Logistics,2024-02-26 09:00:00,60.0
47,Order Approved,2024-02-26 09:00:00,Logistics,2024-02-27 20:00:00,35.0
47,Credit Check,2024-02-27 20:00:00,Warehouse,2024-02-29 04:00:00,32.0
47,Payment Processed,2024-02-29 04:00:00,System,2024-03-01 16:00:00,36.0
47,Order Packed,2024-03-01 16:00:00,Logistics,2024-03-03 00:00:00,32.0
47,Order Shipped,2024-03-03 00:00:00,Logistics,2024-03-05 01:00:00,49.0
47,Order Delivered,2024-03-05 01:00:00,Warehouse,,
48,Order Created,2024-01-04 16:00:00,Warehouse,2024-01-05 16:00:00,24.0
48,Order Approved,2024-01-05 16:00:00,Logistics,2024-01-06 20:00:00,28.0
48,Credit Check,2024-01-06 20:00:00,Warehouse,2024-01-08 06:00:00,34.0
48,Payment Processed,2024-01-08 06:00:00,Warehouse,2024-01-09 18:00:00,36.0
48,Order Packed,2024-01-09 18:00:00,Manager,2024-01-11 06:00:00,36.0
48,Order Shipped,2024-01-11 06:00:00,Manager,2024-01-11 08:00:00,2.0
48,Order Delivered,2024-01-11 08:00:00,Manager,,
49,Order Created,2024-03-02 01:00:00,System,2024-03-03 08:00:00,31.0
49,Order Approved,2024-03-03 08:00:00,Logistics,2024-03-05 23:00:00,63.0
49,Credit Check,2024-03-05 23:00:00,Manager,2024-03-07 06:00:00,31.0
49,Payment Processed,2024-03-07 06:00:00,Logistics,2024-03-09 21:00:00,63.0
49,Order Packed,2024-03-09 21:00:00,Logistics,2024-03-10 00:00:00,3.0
49,Order Shipped,2024-03-10 00:00:00,System,2024-03-11 14:00:00,38.0
