Case_ID,Activity,Timestamp,Resource
10,Order Created,2024-01-02 10:00:00,Manager
10,Order Approved,2024-01-03 09:00:00,Manager
10,Credit Check,2024-01-03 23:00:00,Warehouse
10,Payment Processed,2024-01-06 16:00:00,Manager
10,Order Packed,2024-01-07 18:00:00,Finance Team
10,Order Shipped,2024-01-09 18:00:00,Finance Team
10,Order Delivered,2024-01-12 16:00:00,Manager
11,Order Created,2024-02-28 01:00:00,Manager
11,Order Approved,2024-02-29 19:00:00,Logistics
11,Credit Check,2024-02-29 22:00:00,System
11,Payment Processed,2024-03-02 21:00:00,Warehouse
11,Order Packed,2024-03-04 04:00:00,System
11,Order Shipped,2024-03-05 11:00:00,Manager
11,Order Delivered,2024-03-05 22:00:00,System
12,Order Created,2024-02-18 15:00:00,System
12,Order Approved,2024-02-21 12:00:00,Finance Team
12,Credit Check,2024-02-22 05:00:00,Logistics
12,Payment Processed,2024-02-25 04:00:00,Finance Team
12,Order Packed,2024-02-26 14:00:00,Manager
12,Order Shipped,2024-02-28 21:00:00,Finance Team
12,Order Delivered,2024-03-02 19:00:00,Finance Team
13,Order Created,2024-02-16 16:00:00,Logistics
13,Order Approved,2024-02-18 16:00:00,Logistics
13,Credit Check,2024-02-21 11:00:00,Logistics
13,Payment Processed,2024-02-22 03:00:00,Finance Team
13,Order Packed,2024-02-23 08:00:00,System
13,Order Shipped,2024-02-25 04:00:00,System
13,Order Delivered,2024-02-28 03:00:00,Finance Team
14,Order Created,2024-02-08 05:00:00,System
14,Order Approved,2024-02-08 15:00:00,System
14,Credit Check,2024-02-09 21:00:00,System
14,Payment Processed,2024-02-10 02:00:00,Warehouse
14,Order Packed,2024-02-10 12:00:00,Manager
14,Order Shipped,2024-02-11 19:00:00,Warehouse
14,Order Delivered,2024-02-14 10:00:00,Finance Team
15,Order Created,2024-02-04 17:00:00,Manager
15,Order Approved,2024-02-07 06:00:00,Finance Team
15,Credit Check,2024-02-09 19:00:00,Logistics
15,Payment Processed,2024-02-10 20:00:00,System
15,Order Packed,2024-02-11 09:00:00,Logistics
15,Order Shipped,2024-02-13 07:00:00,Logistics
15,Order Delivered,2024-02-15 12:00:00,Logistics
16,Order Created,2024-02-25 07:00:00,System
16,Order Approved,2024-02-25 15:00:00,Logistics
16,Credit Check,2024-02-27 11:00:00,System
16,Payment Processed,2024-02-28 19:00:00,Finance Team
16,Order Packed,2024-02-29 20:00:00,Manager
16,Order Shipped,2024-03-03 06:00:00,Finance Team
16,Order Delivered,2024-03-05 13:00:00,Finance Team
17,Order Created,2024-01-20 12:00:00,Finance Team
17,Order Approved,2024-01-20 22:00:00,Logistics
17,Credit Check,2024-01-23 21:00:00,System
17,Payment Processed,2024-01-24 04:00:00,Manager
17,Order Packed,2024-01-24 06:00:00,System
17,Order Shipped,2024-01-25 13:00:00,Finance Team
17,Order Delivered,2024-01-27 18:00:00,Logistics
18,Order Created,2024-02-01 04:00:00,Logistics
18,Order Approved,2024-02-01 12:00:00,Finance Team
18,Credit Check,2024-02-03 13:00:00,System
18,Payment Processed,2024-02-05 15:00:00,Warehouse
18,Order Packed,2024-02-08 02:00:00,Warehouse
18,Order Shipped,2024-02-10 09:00:00,Manager
18,Order Delivered,2024-02-13 00:00:00,Finance Team
19,Order Created,2024-01-14 14:00:00,Finance Team
19,Order Approved,2024-01-14 22:00:00,Manager
19,Credit Check,2024-01-17 20:00:00,System
19,Payment Processed,2024-01-19 13:00:00,System
19,Order Packed,2024-01-19 20:00:00,Manager
19,Order Shipped,2024-01-22 10:00:00,Manager
19,Order Delivered,2024-01-25 06:00:00,Finance Team
20,Order Created,2024-01-06 18:00:00,System
20,Order Approved,2024-01-07 18:00:00,System
20,Credit Check,2024-01-08 03:00:00,Finance Team
20,Payment Processed,2024-01-10 07:00:00,System
20,Order Packed,2024-01-11 15:00:00,Manager
20,Order Shipped,2024-01-11 21:00:00,Manager
20,Order Delivered,2024-01-12 08:00:00,Logistics
21,Order Created,2024-02-14 19:00:00,Warehouse
21,Order Approved,2024-02-16 05:00:00,Finance Team
21,Credit Check,2024-02-17 22:00:00,Finance Team
21,Payment Processed,2024-02-19 08:00:00,Logistics
21,Order Packed,2024-02-20 01:00:00,Warehouse
21,Order Shipped,2024-02-22 12:00:00,Warehouse
21,Order Delivered,2024-02-22 22:00:00,System
22,Order Created,2024-01-30 13:00:00,System
22,Order Approved,2024-02-02 10:00:00,Finance Team
22,Credit Check,2024-02-05 03:00:00,Warehouse
22,Payment Processed,2024-02-05 20:00:00,Warehouse
22,Order Packed,2024-02-06 05:00:00,Finance Team
22,Order Shipped,2024-02-08 05:00:00,Warehouse
22,Order Delivered,2024-02-09 02:00:00,Logistics
23,Order Created,2024-02-25 22:00:00,Warehouse
23,Order Approved,2024-02-28 18:00:00,System
23,Credit Check,2024-03-02 17:00:00,Warehouse
23,Payment Processed,2024-03-03 07:00:00,Finance Team
23,Order Packed,2024-03-04 17:00:00,System
23,Order Shipped,2024-03-05 07:00:00,Manager
23,Order Delivered,2024-03-06 03:00:00,Warehouse
24,Order Created,2024-01-20 03:00:00,Warehouse
24,Order Approved,2024-01-21 06:00:00,Warehouse
24,Credit Check,2024-01-23 23:00:00,Logistics
24,Payment Processed,2024-01-25 08:00:00,System
24,Order Packed,2024-01-25 20:00:00,Logistics
24,Order Shipped,2024-01-27 08:00:00,System
24,Order Delivered,2024-01-27 09:00:00,Warehouse
25,Order Created,2024-02-19 17:00:00,Warehouse
25,Order Approved,2024-02-20 14:00:00,Logistics
25,Credit Check,2024-02-23 13:00:00,Logistics
25,Payment Processed,2024-02-26 13:00:00,System
25,Order Packed,2024-02-27 04:00:00,System
25,Order Shipped,2024-02-28 00:00:00,Manager
25,Order Delivered,2024-02-28 05:00:00,Warehouse
26,Order Created,2024-02-09 23:00:00,Finance Team
26,Order Approved,2024-02-12 07:00:00,Finance Team
26,Credit Check,2024-02-12 13:00:00,Warehouse
26,Payment Processed,2024-02-14 12:00:00,System
26,Order Packed,2024-02-16 10:00:00,Finance Team
26,Order Shipped,2024-02-17 18:00:00,System
26,Order Delivered,2024-02-19 16:00:00,Manager
27,Order Created,2024-02-28 05:00:00,Manager
27,Order Approved,2024-02-29 01:00:00,Finance Team
27,Credit Check,2024-02-29 22:00:00,Finance Team
27,Payment Processed,2024-03-03 03:00:00,System
27,Order Packed,2024-03-04 02:00:00,Warehouse
27,Order Shipped,2024-03-06 07:00:00,Finance Team
27,Order Delivered,2024-03-07 18:00:00,Finance Team
28,Order Created,2024-02-20 14:00:00,Logistics
28,Order Approved,2024-02-20 19:00:00,Logistics
28,Credit Check,2024-02-22 00:00:00,Finance Team
28,Payment Processed,2024-02-24 11:00:00,Warehouse
28,Order Packed,2024-02-26 03:00:00,Finance Team
28,Order Shipped,2024-02-27 08:00:00,System
28,Order Delivered,2024-02-28 09:00:00,Logistics
29,Order Created,2024-01-23 12:00:00,System
29,Order Approved,2024-01-25 00:00:00,Warehouse
29,Credit Check,2024-01-27 18:00:00,Logistics
29,Payment Processed,2024-01-30 15:00:00,Warehouse
29,Order Packed,2024-01-30 19:00:00,System
29,Order Shipped,2024-02-01 05:00:00,Finance Team
29,Order Delivered,2024-02-02 15:00:00,System
30,Order Created,2024-01-09 08:00:00,Warehouse
30,Order Approved,2024-01-11 01:00:00,Logistics
30,Credit Check,2024-01-13 19:00:00,System
30,Payment Processed,2024-01-15 21:00:00,Manager
30,Order Packed,2024-01-16 22:00:00,Warehouse
30,Order Shipped,2024-01-17 04:00:00,Logistics
30,Order Delivered,2024-01-17 05:00:00,Manager
31,Order Created,2024-03-02 21:00:00,Finance Team
31,Order Approved,2024-03-04 20:00:00,Logistics
31,Credit Check,2024-03-05 05:00:00,Warehouse
31,Payment Processed,2024-03-06 22:00:00,System
31,Order Packed,2024-03-08 13:00:00,Manager
31,Order Shipped,2024-03-10 05:00:00,Logistics
31,Order Delivered,2024-03-11 23:00:00,Logistics
32,Order Created,2024-02-15 14:00:00,Manager
32,Order Approved,2024-02-16 07:00:00,Finance Team
32,Credit Check,2024-02-18 13:00:00,Logistics
32,Payment Processed,2024-02-19 12:00:00,Manager
32,Order Packed,2024-02-21 03:00:00,Logistics
32,Order Shipped,2024-02-24 02:00:00,System
32,Order Delivered,2024-02-25 17:00:00,Warehouse
33,Order Created,2024-01-16 08:00:00,Manager
33,Order Approved,2024-01-18 02:00:00,Logistics
33,Credit Check,2024-01-20 11:00:00,Logistics
33,Payment Processed,2024-01-21 15:00:00,Manager
33,Order Packed,2024-01-24 04:00:00,Finance Team
33,Order Shipped,2024-01-24 15:00:00,Warehouse
33,Order Delivered,2024-01-27 09:00:00,Manager
34,Order Created,2024-01-22 12:00:00,Finance Team
34,Order Approved,2024-01-24 04:00:00,Finance Team
34,Credit Check,2024-01-25 06:00:00,Finance Team
34,Payment Processed,2024-01-25 10:00:00,System
34,Order Packed,2024-01-26 18:00:00,Logistics
34,Order Shipped,2024-01-27 04:00:00,Logistics
34,Order Delivered,2024-01-29 10:00:00,Manager
35,Order Created,2024-01-15 02:00:00,Logistics
35,Order Approved,2024-01-17 06:00:00,Finance Team
35,Credit Check,2024-01-18 01:00:00,System
35,Payment Processed,2024-01-18 15:00:00,Logistics
35,Order Packed,2024-01-19 20:00:00,Finance Team
35,Order Shipped,2024-01-22 15:00:00,Logistics
35,Order Delivered,2024-01-22 22:00:00,Manager
36,Order Created,2024-01-16 16:00:00,Logistics
36,Order Approved,2024-01-17 10:00:00,Logistics
36,Credit Check,2024-01-20 06:00:00,Manager
36,Payment Processed,2024-01-21 23:00:00,Logistics
36,Order Packed,2024-01-24 16:00:00,Logistics
36,Order Shipped,2024-01-27 15:00:00,Logistics
36,Order Delivered,2024-01-28 12:00:00,Logistics
37,Order Created,2024-01-30 10:00:00,Finance Team
37,Order Approved,2024-01-31 22:00:00,Manager
37,Credit Check,2024-02-03 13:00:00,Finance Team
37,Payment Processed,2024-02-05 01:00:00,Logistics
37,Order Packed,2024-02-05 11:00:00,Warehouse
37,Order Shipped,2024-02-06 18:00:00,Warehouse
37,Order Delivered,2024-02-08 13:00:00,Warehouse
38,Order Created,2024-02-29 22:00:00,System
38,Order Approved,2024-03-01 16:00:00,Finance Team
38,Credit Check,2024-03-02 22:00:00,Logistics
38,Payment Processed,2024-03-03 18:00:00,Finance Team
38,Order Packed,2024-03-04 03:00:00,Logistics
38,Order Shipped,2024-03-06 08:00:00,Warehouse
38,Order Delivered,2024-03-09 06:00:00,Logistics
39,Order Created,2024-01-27 08:00:00,Finance Team
39,Order Approved,2024-01-29 14:00:00,Logistics
39,Credit Check,2024-01-29 17:00:00,Manager
39,Payment Processed,2024-01-31 18:00:00,Logistics
39,Order Packed,2024-01-31 19:00:00,Warehouse
39,Order Shipped,2024-02-02 10:00:00,Logistics
39,Order Delivered,2024-02-04 16:00:00,Manager
40,Order Created,2024-02-19 22:00:00,Manager
40,Order Approved,2024-02-21 03:00:00,Logistics
40,Credit Check,2024-02-22 08:00:00,Warehouse
40,Payment Processed,2024-02-24 16:00:00,Logistics
40,Order Packed,2024-02-24 20:00:00,Logistics
40,Order Shipped,2024-02-26 16:00:00,Logistics
40,Order Delivered,2024-02-27 14:00:00,Logistics
41,Order Created,2024-02-28 17:00:00,Manager
41,Order Approved,2024-03-02 14:00:00,System
41,Credit Check,2024-03-04 17:00:00,Manager
41,Payment Processed,2024-03-04 21:00:00,System
41,Order Packed,2024-03-07 04:00:00,Finance Team
41,Order Shipped,2024-03-09 16:00:00,Finance Team
41,Order Delivered,2024-03-09 23:00:00,Warehouse
42,Order Created,2024-01-26 18:00:00,Finance Team
42,Order Approved,2024-01-29 05:00:00,Warehouse
42,Credit Check,2024-01-31 01:00:00,Logistics
42,Payment Processed,2024-02-01 13:00:00,Logistics
42,Order Packed,2024-02-02 22:00:00,System
42,Order Shipped,2024-02-05 11:00:00,System
42,Order Delivered,2024-02-08 09:00:00,System
43,Order Created,2024-03-02 21:00:00,Finance Team
43,Order Approved,2024-03-03 06:00:00,System
43,Credit Check,2024-03-03 10:00:00,Finance Team
43,Payment Processed,2024-03-04 12:00:00,System
43,Order Packed,2024-03-05 08:00:00,Finance Team
43,Order Shipped,2024-03-06 01:00:00,Logistics
43,Order Delivered,2024-03-06 16:00:00,Manager
44,Order Created,2024-03-02 04:00:00,Logistics
44,Order Approved,2024-03-03 13:00:00,Warehouse
44,Credit Check,2024-03-04 11:00:00,Manager
44,Payment Processed,2024-03-05 02:00:00,Finance Team
44,Order Packed,2024-03-06 18:00:00,System
44,Order Shipped,2024-03-06 22:00:00,Warehouse
44,Order Delivered,2024-03-08 23:00:00,Logistics
45,Order Created,2024-03-02 02:00:00,System
45,Order Approved,2024-03-03 10:00:00,System
45,Credit Check,2024-03-05 01:00:00,Manager
45,Payment Processed,2024-03-05 17:00:00,Manager
45,Order Packed,2024-03-05 23:00:00,Warehouse
45,Order Shipped,2024-03-08 20:00:00,Logistics
45,Order Delivered,2024-03-10 20:00:00,System
46,Order Created,2024-02-03 20:00:00,System
46,Order Approved,2024-02-06 02:00:00,Logistics
46,Credit Check,2024-02-06 16:00:00,Logistics
46,Payment Processed,2024-02-08 15:00:00,Logistics
46,Order Packed,2024-02-09 11:00:00,Logistics
46,Order Shipped,2024-02-10 10:00:00,Manager
46,Order Delivered,2024-02-11 21:00:00,Manager
47,Order Created,2024-02-23 21:00:00,Logistics
47,Order Approved,2024-02-26 09:00:00,Logistics
47,Credit Check,2024-02-27 20:00:00,Warehouse
47,Payment Processed,2024-02-29 04:00:00,System
47,Order Packed,2024-03-01 16:00:00,Logistics
47,Order Shipped,2024-03-03 00:00:00,Logistics
47,Order Delivered,2024-03-05 01:00:00,Warehouse
48,Order Created,2024-01-04 16:00:00,Warehouse
48,Order Approved,2024-01-05 16:00:00,Logistics
48,Credit Check,2024-01-06 20:00:00,Warehouse
48,Payment Processed,2024-01-08 06:00:00,Warehouse
48,Order Packed,2024-01-09 18:00:00,Manager
48,Order Shipped,2024-01-11 06:00:00,Manager
48,Order Delivered,2024-01-11 08:00:00,Manager
49,Order Created,2024-03-02 01:00:00,System
49,Order Approved,2024-03-03 08:00:00,Logistics
49,Credit Check,2024-03-05 23:00:00,Manager
49,Payment Processed,2024-03-07 06:00:00,Logistics
49,Order Packed,2024-03-09 21:00:00,Logistics
49,Order Shipped,2024-03-10 00:00:00,System
49,Order Delivered,2024-03-11 14:00:00,Finance Team
50,Order Created,2024-01-27 08:00:00,Warehouse
50,Order Approved,2024-01-29 08:00:00,Logistics
50,Credit Check,2024-02-01 07:00:00,Manager
50,Payment Processed,2024-02-03 04:00:00,Logistics
50,Order Packed,2024-02-06 03:00:00,Warehouse
50,Order Shipped,2024-02-08 01:00:00,Logistics
50,Order Delivered,2024-02-09 12:00:00,Warehouse
51,Order Created,2024-01-18 06:00:00,System
51,Order Approved,2024-01-19 07:00:00,Warehouse
51,Credit Check,2024-01-19 23:00:00,Manager
51,Payment Processed,2024-01-20 23:00:00,Finance Team
51,Order Packed,2024-01-22 03:00:00,Logistics
51,Order Shipped,2024-01-23 15:00:00,Manager
51,Order Delivered,2024-01-26 11:00:00,Manager
52,Order Created,2024-01-19 13:00:00,Finance Team
52,Order Approved,2024-01-21 03:00:00,Finance Team
52,Credit Check,2024-01-23 02:00:00,Finance Team
52,Payment Processed,2024-01-24 17:00:00,System
52,Order Packed,2024-01-27 14:00:00,Finance Team
52,Order Shipped,2024-01-29 02:00:00,System
52,Order Delivered,2024-01-29 09:00:00,Manager
53,Order Created,2024-01-19 17:00:00,Logistics
53,Order Approved,2024-01-20 07:00:00,System
53,Credit Check,2024-01-21 20:00:00,Logistics
53,Payment Processed,2024-01-24 10:00:00,Logistics
53,Order Packed,2024-01-26 06:00:00,Finance Team
53,Order Shipped,2024-01-26 13:00:00,Warehouse
53,Order Delivered,2024-01-29 03:00:00,System
54,Order Created,2024-02-22 09:00:00,Logistics
54,Order Approved,2024-02-25 00:00:00,System
54,Credit Check,2024-02-25 07:00:00,Finance Team
54,Payment Processed,2024-02-26 03:00:00,Manager
54,Order Packed,2024-02-27 18:00:00,System
54,Order Shipped,2024-02-29 02:00:00,System
54,Order Delivered,2024-03-03 02:00:00,Logistics
55,Order Created,2024-02-09 05:00:00,Manager
55,Order Approved,2024-02-11 06:00:00,Logistics
55,Credit Check,2024-02-13 15:00:00,Warehouse
55,Payment Processed,2024-02-15 22:00:00,Warehouse
55,Order Packed,2024-02-16 06:00:00,Manager
55,Order Shipped,2024-02-16 19:00:00,Finance Team
55,Order Delivered,2024-02-17 23:00:00,Warehouse
56,Order Created,2024-02-12 11:00:00,Finance Team
56,Order Approved,2024-02-13 18:00:00,Finance Team
56,Credit Check,2024-02-16 17:00:00,System
56,Payment Processed,2024-02-17 14:00:00,System
56,Order Packed,2024-02-19 19:00:00,Logistics
56,Order Shipped,2024-02-22 08:00:00,Warehouse
56,Order Delivered,2024-02-22 13:00:00,Finance Team
57,Order Created,2024-01-20 13:00:00,Logistics
57,Order Approved,2024-01-20 23:00:00,Finance Team
57,Credit Check,2024-01-22 09:00:00,Manager
57,Payment Processed,2024-01-23 11:00:00,Logistics
57,Order Packed,2024-01-24 02:00:00,Manager
57,Order Shipped,2024-01-25 07:00:00,Finance Team
57,Order Delivered,2024-01-26 18:00:00,Finance Team
58,Order Created,2024-01-05 08:00:00,Finance Team
58,Order Approved,2024-01-07 00:00:00,Manager
58,Credit Check,2024-01-08 13:00:00,Logistics
58,Payment Processed,2024-01-09 05:00:00,Logistics
58,Order Packed,2024-01-10 20:00:00,Logistics
58,Order Shipped,2024-01-12 07:00:00,Manager
58,Order Delivered,2024-01-15 05:00:00,Logistics
59,Order Created,2024-01-29 11:00:00,Manager
59,Order Approved,2024-01-29 17:00:00,Logistics
59,Credit Check,2024-01-31 11:00:00,Manager
59,Payment Processed,2024-02-01 20:00:00,System
59,Order Packed,2024-02-02 08:00:00,Finance Team
59,Order Shipped,2024-02-02 11:00:00,Warehouse
59,Order Delivered,2024-02-02 17:00:00,Finance Team
60,Order Created,2024-02-02 19:00:00,Logistics
60,Order Approved,2024-02-04 07:00:00,Finance Team
60,Credit Check,2024-02-06 15:00:00,Logistics
60,Payment Processed,2024-02-07 03:00:00,Logistics
60,Order Packed,2024-02-09 00:00:00,Logistics
60,Order Shipped,2024-02-10 19:00:00,Warehouse
60,Order Delivered,2024-02-11 09:00:00,Finance Team
61,Order Created,2024-01-24 05:00:00,Logistics
61,Order Approved,2024-01-25 18:00:00,Logistics
61,Credit Check,2024-01-28 17:00:00,System
61,Payment Processed,2024-01-31 04:00:00,System
61,Order Packed,2024-02-01 21:00:00,Warehouse
61,Order Shipped,2024-02-03 15:00:00,System
61,Order Delivered,2024-02-05 19:00:00,Manager
62,Order Created,2024-02-22 01:00:00,Manager
62,Order Approved,2024-02-24 13:00:00,Logistics
62,Credit Check,2024-02-24 20:00:00,Finance Team
62,Payment Processed,2024-02-27 15:00:00,Warehouse
62,Order Packed,2024-03-01 07:00:00,Logistics
62,Order Shipped,2024-03-01 14:00:00,Finance Team
62,Order Delivered,2024-03-03 01:00:00,Manager
63,Order Created,2024-01-10 13:00:00,Logistics
63,Order Approved,2024-01-13 04:00:00,System
63,Credit Check,2024-01-13 08:00:00,Manager
63,Payment Processed,2024-01-14 15:00:00,Finance Team
63,Order Packed,2024-01-16 07:00:00,Manager
63,Order Shipped,2024-01-16 09:00:00,Manager
63,Order Delivered,2024-01-18 14:00:00,System
64,Order Created,2024-01-15 15:00:00,Logistics
64,Order Approved,2024-01-16 07:00:00,Finance Team
64,Credit Check,2024-01-18 23:00:00,Warehouse
64,Payment Processed,2024-01-21 17:00:00,Warehouse
64,Order Packed,2024-01-23 23:00:00,Logistics
64,Order Shipped,2024-01-26 12:00:00,Finance Team
64,Order Delivered,2024-01-28 23:00:00,Manager
65,Order Created,2024-01-12 02:00:00,Finance Team
65,Order Approved,2024-01-14 20:00:00,Finance Team
65,Credit Check,2024-01-15 05:00:00,Warehouse
65,Payment Processed,2024-01-17 11:00:00,Warehouse
65,Order Packed,2024-01-20 04:00:00,Warehouse
65,Order Shipped,2024-01-20 05:00:00,Warehouse
65,Order Delivered,2024-01-21 20:00:00,Manager
66,Order Created,2024-02-09 15:00:00,Finance Team
66,Order Approved,2024-02-12 01:00:00,Manager
66,Credit Check,2024-02-14 15:00:00,Warehouse
66,Payment Processed,2024-02-16 10:00:00,Manager
66,Order Packed,2024-02-19 08:00:00,Logistics
66,Order Shipped,2024-02-21 19:00:00,Warehouse
66,Order Delivered,2024-02-22 20:00:00,Finance Team
67,Order Created,2024-02-08 02:00:00,Finance Team
67,Order Approved,2024-02-10 07:00:00,System
67,Credit Check,2024-02-12 00:00:00,Logistics
67,Payment Processed,2024-02-14 01:00:00,Logistics
67,Order Packed,2024-02-14 21:00:00,Logistics
67,Order Shipped,2024-02-15 02:00:00,Finance Team
67,Order Delivered,2024-02-17 19:00:00,Manager
68,Order Created,2024-01-22 13:00:00,Logistics
68,Order Approved,2024-01-23 02:00:00,Manager
68,Credit Check,2024-01-25 13:00:00,System
68,Payment Processed,2024-01-26 08:00:00,Logistics
68,Order Packed,2024-01-27 04:00:00,System
68,Order Shipped,2024-01-29 17:00:00,Warehouse
68,Order Delivered,2024-01-31 13:00:00,Manager
69,Order Created,2024-02-16 03:00:00,System
69,Order Approved,2024-02-17 22:00:00,Manager
69,Credit Check,2024-02-19 23:00:00,Warehouse
69,Payment Processed,2024-02-22 14:00:00,Manager
69,Order Packed,2024-02-22 19:00:00,Manager
69,Order Shipped,2024-02-23 04:00:00,Finance Team
69,Order Delivered,2024-02-24 17:00:00,Finance Team
70,Order Created,2024-02-17 12:00:00,Logistics
70,Order Approved,2024-02-18 01:00:00,System
70,Credit Check,2024-02-20 10:00:00,Finance Team
70,Payment Processed,2024-02-22 01:00:00,System
70,Order Packed,2024-02-22 07:00:00,Warehouse
70,Order Shipped,2024-02-22 15:00:00,Warehouse
70,Order Delivered,2024-02-24 13:00:00,Warehouse
71,Order Created,2024-01-28 19:00:00,Finance Team
71,Order Approved,2024-01-31 15:00:00,Logistics
71,Credit Check,2024-02-01 15:00:00,Finance Team
71,Payment Processed,2024-02-02 14:00:00,System
71,Order Packed,2024-02-04 15:00:00,Manager
71,Order Shipped,2024-02-05 22:00:00,Logistics
71,Order Delivered,2024-02-06 17:00:00,Finance Team
72,Order Created,2024-01-31 09:00:00,Logistics
72,Order Approved,2024-02-01 18:00:00,System
72,Credit Check,2024-02-04 06:00:00,Warehouse
72,Payment Processed,2024-02-07 04:00:00,Finance Team
72,Order Packed,2024-02-07 14:00:00,Logistics
72,Order Shipped,2024-02-09 11:00:00,Manager
72,Order Delivered,2024-02-11 02:00:00,Logistics
73,Order Created,2024-02-15 09:00:00,Logistics
73,Order Approved,2024-02-17 00:00:00,Finance Team
73,Credit Check,2024-02-19 02:00:00,Logistics
73,Payment Processed,2024-02-19 16:00:00,Finance Team
73,Order Packed,2024-02-21 17:00:00,Manager
73,Order Shipped,2024-02-23 15:00:00,Manager
73,Order Delivered,2024-02-25 05:00:00,Warehouse
74,Order Created,2024-01-04 03:00:00,Warehouse
74,Order Approved,2024-01-04 05:00:00,Manager
74,Credit Check,2024-01-04 12:00:00,Manager
74,Payment Processed,2024-01-07 04:00:00,Warehouse
74,Order Packed,2024-01-08 10:00:00,Manager
74,Order Shipped,2024-01-10 08:00:00,Finance Team
74,Order Delivered,2024-01-11 09:00:00,Manager
75,Order Created,2024-01-17 18:00:00,System
75,Order Approved,2024-01-18 00:00:00,Warehouse
75,Credit Check,2024-01-20 09:00:00,System
75,Payment Processed,2024-01-22 08:00:00,Finance Team
75,Order Packed,2024-01-22 20:00:00,Warehouse
75,Order Shipped,2024-01-24 14:00:00,Logistics
75,Order Delivered,2024-01-25 13:00:00,Finance Team
76,Order Created,2024-01-11 22:00:00,Warehouse
76,Order Approved,2024-01-14 18:00:00,Manager
76,Credit Check,2024-01-16 05:00:00,Finance Team
76,Payment Processed,2024-01-17 14:00:00,Logistics
76,Order Packed,2024-01-19 04:00:00,Warehouse
76,Order Shipped,2024-01-19 19:00:00,Logistics
76,Order Delivered,2024-01-20 05:00:00,Finance Team
77,Order Created,2024-02-19 05:00:00,Logistics
77,Order Approved,2024-02-22 05:00:00,Warehouse
77,Credit Check,2024-02-22 17:00:00,Logistics
77,Payment Processed,2024-02-22 19:00:00,Warehouse
77,Order Packed,2024-02-25 16:00:00,System
77,Order Shipped,2024-02-28 03:00:00,Warehouse
